date,confirmed,death,recovered
2020/1/22,555,17,28
2020/1/23,653,18,30
2020/1/24,941,26,36
2020/1/25,1434,42,39
2020/1/26,2118,56,52
2020/1/27,2927,82,61
2020/1/28,5578,131,107
2020/1/29,6166,133,126
2020/1/30,8234,171,143
2020/1/31,9927,213,222
2020/2/1,12038,259,284
2020/2/2,16787,362,472
2020/2/3,19881,426,623
2020/2/4,23892,492,852
2020/2/5,27635,564,1124
2020/2/6,30817,634,1487
2020/2/7,34391,719,2011
2020/2/8,37120,806,2616
2020/2/9,40150,906,3244
2020/2/10,42762,1013,3946
2020/2/11,44802,1113,4683
2020/2/12,45221,1118,5150
2020/2/13,60368,1371,6295
2020/2/14,66885,1523,8058
2020/2/15,69030,1666,9395
2020/2/16,71224,1770,10865
2020/2/17,73258,1868,12583
2020/2/18,75136,2007,14352
2020/2/19,75639,2122,16121
2020/2/20,76197,2247,18177
2020/2/21,76823,2251,18890
2020/2/22,78579,2458,22886
2020/2/23,78965,2469,23394
2020/2/24,79568,2629,25227
2020/2/25,80413,2708,27905
2020/2/26,81395,2770,30384
2020/2/27,82754,2814,33277
2020/2/28,84120,2872,36711
2020/2/29,86011,2941,39782
2020/3/1,88369,2996,42716
2020/3/2,90306,3085,45602
2020/3/3,92840,3160,48228
2020/3/4,95120,3254,51170
2020/3/5,97882,3348,53796
2020/3/6,101784,3460,55865
2020/3/7,105821,3558,58358
2020/3/8,109795,3802,60694
2020/3/9,113561,3988,62494
2020/3/10,118592,4262,64404
2020/3/11,125865,4615,67003
2020/3/12,128343,4720,68324
2020/3/13,145193,5404,70251
2020/3/14,156094,5819,72624
2020/3/15,167446,6440,76034
2020/3/16,181527,7126,78088
2020/3/17,197142,7905,80840
2020/3/18,214910,8733,83207
2020/3/19,242708,9867,84854
